iter	Passed	Remaining
324	1135	2358
325	1141	2360
326	1143	2352
327	1145	2347
328	1147	2340
329	1155	2345
330	1156	2337
331	1158	2330
332	1160	2324
333	1162	2317
334	1168	2320
335	1170	2313
336	1172	2306
337	1173	2299
338	1178	2298
339	1180	2291
340	1181	2284
341	1183	2277
342	1186	2271
343	1192	2274
344	1194	2268
345	1196	2261
346	1198	2254
347	1202	2253
348	1204	2246
349	1206	2239
350	1208	2234
351	1210	2227
352	1218	2232
353	1220	2227
354	1222	2220
355	1223	2213
356	1230	2215
357	1232	2210
358	1234	2203
359	1235	2197
360	1237	2191
361	1243	2190
362	1244	2184
363	1246	2177
364	1248	2172
365	1255	2174
366	1257	2168
367	1258	2161
368	1261	2156
369	1262	2149
370	1265	2144
371	1267	2139
372	1268	2132
373	1275	2134
374	1277	2129
375	1279	2123
376	1281	2117
377	1282	2111
378	1284	2105
379	1286	2098
380	1288	2094
381	1295	2096
382	1297	2090
383	1299	2084
384	1301	2079
385	1308	2080
386	1310	2076
387	1312	2070
388	1315	2066
389	1320	2064
390	1322	2059
391	1323	2053
392	1325	2047
393	1371	2109
394	1373	2104
395	1375	2098
396	1378	2093
397	1380	2087
398	1382	2082
399	1387	2081
400	1389	2076
401	1391	2070
402	1394	2065
403	1412	2083
404	1417	2082
405	1423	2082
406	1425	2077
407	1427	2071
408	1429	2066
409	1431	2060
410	1435	2056
411	1436	2050
412	1438	2044
413	1440	2038
414	1444	2035
415	1446	2030
416	1448	2025
417	1450	2019
418	1451	2013
419	1454	2008
420	1457	2004
421	1459	1999
422	1461	1993
423	1462	1987
424	1464	1981
425	1468	1978
426	1469	1972
427	1471	1966
428	1473	1961
429	1475	1955
430	1481	1955
